Date : 2025-06-21 22:31:52
Directory : c:\Users\Jervi\Desktop\payment-with-laravel
Total : 140 files,  23239 codes, 932 comments, 1093 blanks, all 25264 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Jervi\Desktop\payment-with-laravel\composer.lock                                                         | JSON               |      9,174 |          0 |          1 |      9,175 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\app.php                                                        | PHP                |         22 |         82 |         23 |        127 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\auth.php                                                       | PHP                |         28 |         74 |         14 |        116 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\cache.php                                                      | PHP                |         57 |         34 |         18 |        109 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\database.php                                                   | PHP                |        109 |         43 |         23 |        175 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\filesystems.php                                                | PHP                |         36 |         32 |         13 |         81 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\inertia.php                                                    | PHP                |         21 |         23 |         12 |         56 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\logging.php                                                    | PHP                |         79 |         33 |         21 |        133 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\mail.php                                                       | PHP                |         55 |         43 |         19 |        117 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\queue.php                                                      | PHP                |         52 |         44 |         17 |        113 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\services.php                                                   | PHP                |         20 |         11 |          8 |         39 |
| c:\Users\Jervi\Desktop\payment-with-laravel\config\session.php                                                    | PHP                |         23 |        160 |         35 |        218 |
| c:\Users\Jervi\Desktop\payment-with-laravel\database\factories\UserFactory.php                                    | PHP                |         25 |         14 |          6 |         45 |
| c:\Users\Jervi\Desktop\payment-with-laravel\database\migrations\0001_01_01_000000_create_users_table.php          | PHP                |         38 |          6 |          6 |         50 |
| c:\Users\Jervi\Desktop\payment-with-laravel\database\migrations\0001_01_01_000001_create_cache_table.php          | PHP                |         25 |          6 |          5 |         36 |
| c:\Users\Jervi\Desktop\payment-with-laravel\database\migrations\0001_01_01_000002_create_jobs_table.php           | PHP                |         46 |          6 |          6 |         58 |
| c:\Users\Jervi\Desktop\payment-with-laravel\database\seeders\DatabaseSeeder.php                                   | PHP                |         14 |          5 |          5 |         24 |
| c:\Users\Jervi\Desktop\payment-with-laravel\eslint.config.js                                                      | JavaScript         |         42 |          1 |          2 |         45 |
| c:\Users\Jervi\Desktop\payment-with-laravel\package-lock.json                                                     | JSON               |      7,326 |          0 |          1 |      7,327 |
| c:\Users\Jervi\Desktop\payment-with-laravel\package.json                                                          | JSON               |         64 |          0 |          1 |         65 |
| c:\Users\Jervi\Desktop\payment-with-laravel\phpunit.xml                                                           | XML                |         33 |          0 |          1 |         34 |
| c:\Users\Jervi\Desktop\payment-with-laravel\public\favicon.svg                                                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Jervi\Desktop\payment-with-laravel\public\index.php                                                      | PHP                |         10 |          4 |          7 |         21 |
| c:\Users\Jervi\Desktop\payment-with-laravel\public\logo.svg                                                       | XML                |         16 |          0 |          1 |         17 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\css\app.css                                                 | PostCSS            |        130 |          8 |         22 |        160 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\app.tsx                                                  | TypeScript JSX     |         18 |          1 |          6 |         25 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-content.tsx                               | TypeScript JSX     |         15 |          0 |          4 |         19 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-header.tsx                                | TypeScript JSX     |        171 |          2 |         10 |        183 |
